## LRU-LCE-0.2
## 0.142845 0.776449431215 76.1163733333 66.9427193181 54.462146979
## 
## LRU-LCE-0.05
## 0.0570033333333 0.819067045633 82.7913466667 70.0009918918 59.841960604
## 
## LRU-LCE-0.1
## 0.0892966666667 0.80288800595 80.2753866667 68.9385916588 57.9082372562
## 
## HYBRID-LCE-0.05
## 0.118935 0.788195791003 77.9597666667 67.8461388121 56.0530248456
## 
## IN_CACHE_LFU-LCE-0.05
## 0.125431666667 0.782935835977 77.4112266667 67.2352710673 55.4668825598
## 
## HYBRID-LCE-0.1
## 0.161048333333 0.767334861109 74.701 66.1685962005 53.2190624041
## 
## IN_CACHE_LFU-LCE-0.1
## 0.167316666667 0.761684670633 74.15864 65.7093943923 52.8021778537
## 
## HYBRID-LCE-0.2
## 0.220915 0.737113213623 70.02888 63.9338644186 49.4359319355
## 
## IN_CACHE_LFU-LCE-0.2
## 0.225728333333 0.732143691797 69.5851866667 63.4399279235 49.0859869045
## 
## LRU-HR_SYMM-0.05
## 0.164308333333 1.12692916997 82.9693066667 88.2973668792 52.9781693213
## 
## HYBRID-HR_SYMM-0.05
## 0.21145 1.09663868386 79.1719266667 86.503669017 50.1083822557
## 
## LRU-HR_SYMM-0.1
## 0.254471666667 1.07071055423 75.7014933333 84.5250542299 47.2998087228
## 
## IN_CACHE_LFU-HR_SYMM-0.05
## 0.234965 1.08243797288 77.2624066667 85.3485823562 48.555036045
## 
## LRU-HR_SYMM-0.2
## 0.390158333333 0.983450151455 64.7365066667 78.851049424 38.7905157247
## 
## HYBRID-HR_SYMM-0.1
## 0.298695 1.04155585582 72.1322666667 82.8230529641 44.6006079994

## IN_CACHE_LFU-HR_SYMM-0.1
## 0.32075 1.02677864087 70.3162 81.612875236 43.1248775815
## 
## HYBRID-HR_SYMM-0.2
## 0.425971666667 0.959348546296 61.8405733333 77.0256629994 36.3876336943
## 
## IN_CACHE_LFU-HR_SYMM-0.2
## 0.44155 0.948205888889 60.5563466667 76.3751604734 35.4507456331
## 
## LRU-HR_ASYMM-0.05
## 0.151531666667 0.970543906746 80.12112 66.6374963695 53.9373437545
## 
## HYBRID-HR_ASYMM-0.05
## 0.175913333333 0.959365385251 78.2355166667 65.9661578886 52.2744192286
## 
## LRU-HR_ASYMM-0.1
## 0.2224 0.93693862996 74.6565933333 64.974454568 49.2607025904
## 
## IN_CACHE_LFU-HR_ASYMM-0.05
## 0.178953333333 0.957921008929 78.0169233333 65.9971790364 52.1245885078
## 
## HYBRID-HR_ASYMM-0.1
## 0.233998333333 0.932159700066 73.7774966667 64.993627104 48.7341697591
## 
## LRU-HR_ASYMM-0.2
## 0.302661666667 0.899785643849 68.4945366667 63.4581099866 44.2172646094
## 
## IN_CACHE_LFU-HR_ASYMM-0.1
## 0.237451666667 0.930574150463 73.51536 64.798206971 48.3991993723
## 
## HYBRID-HR_ASYMM-0.2
## 0.303675 0.899407247685 68.3978733333 63.4589870114 44.2306810369
## 
## IN_CACHE_LFU-HR_ASYMM-0.2
## 0.306733333333 0.89833124504 68.1802366667 63.4709138343 44.0381031184
## 
